CODE #,CODE TYPE,NARRATIVE,M/F
243.65(A),PC,BATT ON HIGHWAY WORKER,M
244.5(B),PC,ASLT W/STUN GUN/LL WEAPON,F
244.5(B),PC,ASLT W/STUN GUN/LL WPN,M
244.5(C),PC,ASLT PO W/STUN GUN/LL WPN,F
244.5(C),PC,ASLT PO W/STUN GUN/LL WPN,M
218.1,PC,OBST/DAMAGE/DERAIL TRAIN,F
218.1,PC,OBSTR/DAMAGE/DERAIL TRAIN,M
245(A)(4),PC,ADW/FORCE:POSSIBLE GBI,F
245(A)(4),PC,ADW/FORCE:POSSIBLE GBI,M
245(A)(1),PC,ADW NOT FIREARM,F
245(A)(1),PC,ADW NOT FIREARM,M
149,PC,ASSAULT BY PUBLIC OFFICER,M
243.10(A),PC,BATT AGNST MBR US FORCES,M
243.15,PC,BATTERY NONINMATE BY INMT,F
243.15,PC,BATTERY NOINMATE BY INMT,M
217.1(A),PC,ASSAULT PUBLIC OFFICIAL,M
243(C),PC,BATTERY PO/ETC W/INJURY,F
245.5(C),PC,ASSLT SCHL EMP W/STUN GUN,M
4501(B),PC,ASSLT W/FRC GBI BY PRISNR,F
4501.1(A),PC,BATTERY BY GASSING ON PO,M
241.2(A)(1),PC,ASSLT PERSON SCHOOL PROP,M
219,PC,TRAIN WRECKING RSLT DEATH,F
219.1,PC,THROW OBJ COMMN VEH B/HRM,F
244,PC,ASSLT THROWING ACID/ETC,F
4500,PC,ASSLT DDLY WPN LIFE PRSNR,F
4501.5,PC,BATT BY INMAT ON NONPRSNR,F
241(B),PC,ASSLT PARKING CONTRL OFCR,M
245(D)(1),PC,ASSLT PO/FIRE W/FIREARM,F
243.6,PC,BATT SCHOOL EMP W/O INJ,M
243(C)(1),PC,BATTERY PO/ETC W/INJURY,F
243(C)(1),PC,BATTERY PO/ETC W/INJURY,M
4501(A),PC,ASSLT DEADLY WPN BY PRSNR,F
245(D)(2),PC,ASSLT PO/FF W/SEMI F/ARM,F
646.9(A),PC,STALKING,M
646.9(B),PC,STALKNG:TEMP RESTRAIN ORD,F
11413(A),PC,USE EXPL DEV TO TERRORIZE,F
646.9(A),PC,STALKING,F
646.9(C),PC,STALKING W/PR,F
11414(A),PC,HARAS CHILD:GUARDIANS EMP,M
11418.5(A),PC,THREAT/ETC W/WPN MAS DEST,M
11418.5(A),PC,THREAT/ETC W/WPN MAS DEST,F
11419(A),PC,POSS REST BIOLOGICAL AGNT,F
11418(B)(1),PC,USE WPN MS DEST:INJRY/ETC,F
11418(C),PC,USE WPN MAS DEST:NATL RES,F
11418(A)(1),PC,POS/ETC WPN OF MASS DEST,F
11418(A)(2),PC,POS WPN OF MASS DEST W/PR,F
11418(B)(3),PC,USE WPN MS DEST:FOOD/WATR,F
11418(B)(4),PC,USE WPN MS DEST:ANML/CROP,F
11414(C),PC,HARAS CHLD:PARNT EMP W/PR,M
422(A),PC,THRTN CRIME:INT:TERRORIZE,M
422(A),PC,THRTN CRIME:INT:TERRORIZE,F
422.4(A),PC,PUBLSH INFO ACADEMC VIOL,M
76(A),PC,THRTN PUB OFFICIAL W/PR,F
11411(C),PC,TERRORIZE SWASTIKA 2+,M
11418.1,PC,MAIL FLS WMD TO PERSN/PLC,M
11418.1,PC,MAIL FLS WMD TO PERSN/PLC,F
11418(B)(2),PC,USE WPN MASS DEST GBI/DTH,F
11418(D)(1),PC,CREATE PATHGN WMD INJ/DTH,F
11418(D)(2),PC,CREAT NW PTHGN WMD NT RSC,F
11411(C),PC,TERRORIZE SWASTIKA 2+,F
11411(D),PC,TERRORZ BURN/ETC CROSS 2+,F
11411(D),PC,TERRORZ BURN/ETC CROSS 2+,M
76(A),PC,THREATEN PUB OFFICIAL,M
11411(B),PC,TERRORIZE:HANG NOOSE,F
11411(C),PC,TERIZ:PLACE SYM:PRIV PROP,F
11411(B),PC,TERRORIZE:HANG NOOSE,M
11411(C),PC,TERIZ:PLACE SYM:PRIV PROP,M
451(A),PC,ARSON CAUSING GBI,F
451(B),PC,ARSON:INHABITED STRUCTURE,F
451(C),PC,ARSON:FOREST LAND,F
452(B),PC,CAUSE FIRE OF INHAB STRUC,F
452(C),PC,CAUSE FIRE OF STRUC/FORES,F
4433(A),PR,LGT/MNTN/USE CMPFR W/O PR,M
452(D),PC,CAUSING FIRE OF PROPERTY,M
451(D),PC,ARSON:PROPERTY,F
4422(B),PR,ALLOW FIRE:ESCAPE/SPREAD,M
451.5(A)(1),PC,AGGRAVATED ARSON W/PRIOR,F
452(C),PC,CAUSE FIRE:STRUCTR/FOREST,M
457.1(H),PC,FAIL REG:ARSON OFFENDER,M
452(B),PC,CAUSE FIRE OF INHAB STRUC,M
451.5(A),PC,AGGRAVATED ARSON,F
451.5(A)(3),PC,AGG ARSON:5+ INHAB STRUCT,F
4421,PR,BURN LAND OF ANOTHER,M
4435,PR,NEG:MAINT/OPR:CAUSE FIRE,M
452(A),PC,UNLAW CAUSE FIRE W/GBI,M
452(A),PC,CAUSE FIRE W/GBI,F
453(A),PC,POSS FLAM MTRL/DVC ARSON,F
453(A),PC,POSS FLAM MTRL/DVC ARSON,M
455(A),PC,ATTEMPT/AID/ETC IN ARSON,F
451.5(A)(2)(A),PC,"AGG ARSON:+$10,100,000PD",F
210,PC,POSE AS KIDNAPPER:EXTORT,F
522,PC,OBTAIN SIGNATURE BY THRT,F
524,PC,ATTEMPTED EXTORTION,F
526,PC,EXTORT W/FALSE COURT DOC,M
1916.3(B),CI,LOAN SHARKING,F
1916.3(B),CI,LOAN SHARKING,M
518(A),PC,EXTRTN FRC/FEAR/OFCL RT,M
524,PC,ATTEMPTED EXTORTION,M
523(B)(1),PC,THRTN EXTORT W/RANSOMWARE,F
518(A),PC,EXTORTION,F
523(A),PC,THRTN LTR W/INT TO EXTORT,F
466,PC,POSSESS BURGLARY TOOLS,M
466.5(C),PC,MFG/SELL VEH MASTER KEY,M
459,PC,BURGLARY:FIRST DEGREE,F
459,PC,BURGLARY:SECOND DEGREE,F
466.1,PC,SELL LOCK PICK/ETC,M
460(A),PC,BURGLARY:FIRST DEGREE,F
460(B),PC,BURGLARY:SECOND DEGREE,F
466.7,PC,ILLEGAL POSS OF VEH KEY,M
466.6(A),PC,MAKE VEH/ETC KEY W/O ORDR,M
460(B),PC,BURGLARY:SECOND DEGREE,M
459,PC,BURGLARY:SECOND DEGREE,M
463(A),PC,LOOTING DURING ST EMERG,M
463(B),PC,LOOT/GRAND THEFT ST EMERG,M
466.65(A),PC,POSS MOTORCYCL IGNITN DVC,M
466.65(B),PC,POSS HRDWR MOTORCYCL THFT,M
464,PC,BURGLARY W/EXPLOSIVES/ETC,F
466.5(A),PC,POSS W/INT VEH MASTER KEY,M
466.5(B),PC,UNLAW USE VEH MASTER KEY,M
469,PC,POSS ILL ST PUB BLDG KEY,M
466.3(A),PC,POSSESS KEY/TAMPER DEVICE,M
463(A),PC,LOOTING DURING ST EMERG,F
466.8(A),PC,MAKE ILL HOUS KEY W/O ORD,M
356,PC,DEFACE MARK ON LUMBER,M
485,PC,APPROPR LOST PROP,F
487C,PC,PETY THFT:CNVRT REAL PROP,M
487D,PC,GRAND THEFT:GOLD DUST/ETC,F
496C,PC,COPY/ETC RELTY TITLE INFO,F
499C(B)(1),PC,THEFT TRADE SECRETS:STEAL,F
499C(B)(2),PC,THEFT TRADE SECRETS:FRAUD,F
499C(B)(3),PC,THEFT TRADE SECRET:ACCESS,F
499C(B)(4),PC,THEFT TRADE SECRETS:COPY,F
499C(C),PC,THEFT OF TRD SECRTS:BRIBE,F
538,PC,REMOVE MORTGAGED PROPERTY,F
642,PC,THEFT FROM DEAD BODY,M
10851.5,VC,THEFT OF BINDER CHAINS,M
1733,IC,THEFT OF FUNDS BY BROKER,F
642,PC,THEFT FR DEAD BODY $400+,F
484(A),PC,THEFT OF PERSONAL PROP,M
484(A),PC,PETTY THEFT,M
484(A),PC,GRAND THEFT,F
502.5,PC,REMOVAL OF STRUCTURE/FIXT,F
502.5,PC,REMOVAL OF STRUCTURE/FIXT,M
490.5(A),PC,PETTY THEFT RETAIL/ETC,M
485,PC,APPROPR LOST PROP,M
19911,EC,WILLFUL PROP DETENTION,M
538,PC,REMOVE MORTGAGED PROPERTY,M
22435.2(B),BP,POSS SHOP/LAUNDRY CART,M
498(D),PC,THEFT UTILITY SERV $400+,F
487G,PC,STEAL/ETC ANML F/SALE/ETC,F
22435.2(A),BP,REM SHOPPING/LAUNDRY CART,M
5097.99(B),PR,POSS/ETC NAT AMER ART/ETC,F
215(A),PC,CARJACKING,F
487(A),PC,GRDTHFT:MONEY/LABOR/PROP,F
487(C),PC,GRAND THEFT FROM PERSON,F
487(B)(1)(A),PC,GRND THEFT:FOWL/FRUIT/ETC,F
22435.2(F),BP,POSS CARTS:SPEC CIRC,M
22435.2(E),BP,ALTER/ETC SHOP/LAUND CART,M
22435.1,BP,TAKE MARKD CART:RETL ESTB,M
487(B)(3),PC,GRAND THFT BY SERVANT/ETC,F
17551(B),FA,FIX BRND/ETC:STOL/BOV/ETC,F
41950(A),PR,UNAUTH REMOVL RECYCLABLES,M
496C,PC,COPY/ETC RELTY TITLE INFO,M
22435.11(A),BP,UNAUTH RETRIEVL SHOP CART,M
22435.12,BP,USE UNIDNT VEH:GET S/CART,M
17551(A),FA,MARK/ETC STOLN BOVINE/ETC,F
466.9(A),PC,POSS CODE GRAB DEV:CRIME,M
466.9(B),PC,USE CODE DEV:VEH ALR:CRIM,M
487(A),PC,GRDTHFT:MONEY/LABOR/PROP,M
487(B)(3),PC,GRAND THFT BY SERVANT/ETC,M
18 641,US,STEAL/REC/ETC US $/PROP,F
487(C),PC,GRAND THEFT FROM PERSON,M
22435.2(C),BP,POSS ALTERED SHOPING CART,M
490.7(B)(2),PC,THFT:25+ FREE NWSPRS:SELL,M
490.7(B)(3),PC,THFT:25+ FREE NWSPRS:DPRV,M
490.7(B)(4),PC,THFT:25+ FREE NWSPRS:HRM,M
22435.2(D),BP,ABANDON SHOP/LAUNDRY CART,M
487(B)(2),PC,G/THFT:FISH/ETC,F
487(B)(2),PC,GRTHFT:FISH/ETC,M
487(D)(1),PC,GRAND THEFT:AUTO,F
487(D)(1),PC,GRAND THEFT:AUTO,M
487(D)(2),PC,GRAND THEFT:FIREARM,F
487H(A),PC,GRAND THEFT:CARGO EX$950,F
499B(B),PC,TAKE VESSEL W/O PERMISION,M
487J,PC,GRAND THEFT:COPPER,M
487J,PC,GRAND THEFT:COPPER,F
666(A),PC,PETY THFT:PR CONV SEX REG,F
666(A),PC,PETY THFT:PR CONV SEX REG,M
484(B)(1),PC,THEFT:RENTAL PROPERTY,M
484(B)(1),PC,THEFT:RENTAL PROPERTY,F
490.4(A)(1),PC,ORG RETAIL THEFT INT/SELL,M
490.4(A)(1),PC,ORG RETAIL THEFT INT/SELL,F
490.4(A)(2),PC,ORG RETAIL THEFT:RCV/POSS,M
490.4(A)(2),PC,ORG RETAIL THEFT:RCV/POSS,F
490.4(A)(3),PC,ORG RETAIL THEFT:AGENT,F
490.4(A)(3),PC,ORG RETAIL THEFT:AGENT,M
490.4(A)(4),PC,ORG RTL THEFT ORGANIZES,M
490.4(A)(4),PC,ORG RTL THEFT ORGANIZES,F
487(B)(1)(A),PC,GRAND THFT FOWL/FRUIT/ETC,M
487E,PC,GRAND THEFT DOG $950+,M
487G,PC,STEAL/ETC ANML F/SALE/ETC,M
487H(A),PC,GRAND THEFT CARGO $950+,M
498(B)(1),PC,THFT UTIL SRVS DVRT $950+,F
498(B)(2),PC,THFT UTIL SRVS TAMPER MTR,F
498(B)(3),PC,THFT UTIL SRVS TAMPR PROP,F
498(B)(4),PC,THFT UTIL SRVS W/O CNSNT,F
498(B)(5),PC,THFT UTIL SRVS RCV BENEFT,F
499C(B)(1),PC,THEFT TRADE SECRETS:STEAL,M
499C(B)(2),PC,THFT TRADE SECRETS FRAUD,M
499C(B)(3),PC,THEFT TRADE SECRET:ACCESS,M
499C(B)(4),PC,THEFT TRADE SECRET: COPY,M
499C(C),PC,THEFT TRADE SECRETS:BRIBE,M
355,PC,DEFACE MARKS INT/PRVNT ID,M
484(A),PC,THEFT OF PROP AFTER PRIOR,F
487B,PC,GRAND THFT CONVRT RL PROP,F
487E,PC,GRAND THEFT DOG $950+,F
487F,PC,PETTY THEFT DOG -$950,M
487A(A),PC,GRAND THEFT ANIMAL,F
487A(B),PC,GRAND THEFT:CARCAS PORTN,F
498(B)(2),PC,THFT UTIL SRVS TAMPER MTR,M
498(B)(4),PC,THFT UTIL SRVS W/O CNSNT,M
498(B)(5),PC,THFT UTIL SRVS RCV BENEFT,M
498(B)(1),PC,THEFT UTIL SRVS DIVERTS,M
498(B)(3),PC,THFT UTIL SRVS TAMPR PROP,M
463(B),PC,LOOT/GRAND THEFT ST EMERG,F
463(C),PC,LOOT/PETTY THEFT ST EMERG,M
484.1(A),PC,FLS INFO TO PWNBRKR -$950,M
484.1(A),PC,FLS INFO TO PWNBRKR $950+,F
337.4,PC,OBTAIN OVER $950 TOUTING,F
487I,PC,GRAND THEFT PUB HS $400+,F
487I,PC,GRAND THEFT PUB HS $400+,M
484H(B),PC,RCV PYMNT ITEMS NOT PURCH,F
484H(B),PC,RCV PYMNT ITEMS NOT PURCH,M
487A(A),PC,GRAND THEFT ANIMAL,M
487A(B),PC,GRAND THFT ANIMAL CARCASS,M
487A(C),PC,GRAND THFT CARCASS PORTN,M
487A(C),PC,GRAND THFT CARCASS PORTN,F
640A(1),PC,MISUSE VENDING MACHINE,M
640B(1),PC,ILLEGAL USE OF PAY PHONE,M
640B(2),PC,MAKE PAY PHONE SLUG,M
500(A),PC,FL TRNSF MNY FRGN COUNTRY,F
500(A),PC,FL TRNSF MNY FRGN COUNTRY,M
459.5(A),PC,SHOPLIFTING,M
459.5(A),PC,SHOPLIFTING AFTR SPEC OFF,F
640A(2),PC,MFG VENDING MACHINE SLUG,M
490.7(B),PC,THEFT 25+ FREE NEWSPAPERS,M
487M(A),PC,EMPLOYER GRAND THFT WAGES,M
487M(A),PC,EMPLOYER GRAND THFT WAGES,F
499D,PC,TAKE AIRCRAFT W/O CONSENT,F
18 2312,US,INTRSTATE TRANSP STLN VEH,F
10851(A),VC,VEHICLE THEFT,F
666.5(A),PC,VEH/ETC THEFT:SPEC PRIORS,F
10851(B),VC,TAKE ONCALL EMERG/ETC VEH,F
10851(A),VC,TAKE VEH W/O OWNER CONSNT,M
499B(A),PC,TAKE BIKE W/OUT PERMISION,M
499D,PC,TAKE AIRCRAFT W/O CONSENT,M
471,PC,MAKE FALSE ENT IN RECORDS,F
472,PC,FORGE OFFICIAL SEAL,F
474,PC,SEND FORGD TELE MSG:FRAUD,F
477,PC,COUNTERFEITING,F
479,PC,POSS/RECEIVE CNTRFT COIN,F
481,PC,FORGE RR/STEAMSHIP TICKET,F
527,PC,SELL FALSE COURT DOCUMENT,M
648,PC,MAKE UNAUTH PAPER MONEY,M
470A,PC,ALT/FORGE/ETC DRIV LIC/ID,F
470B,PC,POSS DL/ID TO CMMT FORGRY,F
4463(A)(1),VC,FORGE/ALTER VEH REG/ETC,F
18 472,US,POSS/ETC FALS US BOND/ETC,F
4463(A)(2),VC,UTER/ETC FAKE VEH REG/ETC,F
115(A),PC,OFFER/ETC FAKE INSTR:FILE,F
481.1(B),PC,POSS/CNTRFT PUB TRAN FARE,M
481.1(A),PC,COUNTERFT FARE MEDIA TRAN,F
115.3,PC,ALT/ETC CERT CPY OFCL REC,M
470(A),PC,FORGERY,F
4462.5,VC,SHO ON VEH/GIV PO FLS REG,M
115.5(A),PC,FILE FALSE/ETC REALTY DOC,M
350(B),PC,MFG/SELL COUNTRFT MK W/PR,F
115.5(B),PC,FALSE STATE TO NOTARY PUB,F
113,PC,MFG/ETC FLSE CITZ/ETC DOC,F
114,PC,USE FALSE CITIZEN/ETC DOC,F
4463(B)(1),VC,FORGE/ETC DISABLD PLACARD,M
4463.5(A),VC,MFG/ETC FAK/ETC LIC PLATE,M
40614,VC,FAKE SIGN:NOTE TO CORRECT,M
476,PC,MAKE/ETC FICT CHECK/ETC,M
475(B),PC,POS BLANK CHEC/ETC:DEFRAD,F
475(B),PC,POS BLANK CHECK/ETC:FRAUD,M
470(D),PC,FALSE CHECK/RECS/CERT/ETC,F
470(D),PC,FALSE CHECKS/REC/CERT/ETC,M
475(C),PC,PAS COMPLET CHECK/ETC:DEF,F
475(C),PC,PASS COMPLETED CHECK/ETC,M
475(A),PC,POS/ETC BAD/ETC CHEKS/ETC,F
475(A),PC,POS/ETC BAD/ETC CHECK/ETC,M
470(C),PC,ALTER/ETC WILL/ETC,F
470(B),PC,FORGE/ETC HANDWRITING/ETC,F
472,PC,FORGE/ETC OFFICIAL SEAL,M
470A,PC,ALT/FORGE/ETC DRIV LIC/ID,M
4463(A)(1),VC,FORGE/ALTER VEH REG/ETC,M
4463(A)(2),VC,UTER/ETC FAKE VEH REG/ETC,M
350(A)(1),PC,MFG/SEL -1000:COUNTRFT MK,M
